参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
有無人打羽毛球🏸️,https://t.me/joinchat/P1YFZAF-VXg4N2Rl,想join ++,想join gp 可唔可以send多次條link,3,49,,,,,
Healthy lifestyle comp 2邊度reg,應該full哂啦喎,Poss,係咪要填form返campus交,1,4,,,,,
Cop fin Int fin 搵gp mate,Sem004 corp fin,Hi,Hello,1,6,,,,,
__,摺友冇frd🥲 想招人一組,,,,,,,有冇yr2 survey BRE349 lab未有組？,1,1
有無人係Z211 執到隻錶?,Casio Ae 1200，唔值錢不過有紀念價值，薄酬。  DM我。🧎‍♂️😭,,,,,,,,1,1
Apss2s09,大家反去上lecture定online,,,,,,,,1,1
招case com grpmate,join,hkicpa 差隻腳🙈,Pm,1,25,,,,,
free elective,Pm please,Want sources,有source輕鬆A,1,13,,,,,
摺毒好去處,Y core隔籬個出入口,拉把都算冇乜人咩？🤔,拉把,2,4,,,,,
想問poly學生可唔可以入hkcc?,* 呢種情況就唔關係咪poly學生事,如果你有特殊原因（例如返去攞證書之類）就應該入得,我上年想入 佢話因為疫情暫時唔畀入🥲聽講之前係可以嘅,1,4,,,,,
CLC2101P伏唔伏,*想問下伏既位喺邊,想問下伏既喺邊,伏,1,4,,,,,
有冇人join咗或者join過Wellness Ally?,,,,,,,,,,
其實有冇人想搞🏓/🏸soc,想打羽毛球 有冇tg group 有嘅可唔可以send Link xd,dm,羽嫂有興,1,63,,,,,
poly最乾淨嘅廁所喺邊度?,啪學生證姐 Poly學生都入得,舊年V core Podium同三樓個廁所都唔錯，但因為開返f2f之後人流多咗，就冇之前咁乾淨。,V core 高層、A core 一樓,3,10,,,,,
點睇自己hall waitlist排幾多,咁我到時再睇睇 唔該晒你～,有個出waitlist result既日期 到時先睇到包括分同position既result,同你一樣🥴可能15號之後先有？,3,9,,,,,
求CC2C03P Source 可交換LSGI2B01,Plsssssss pm,Pm,求埋ABCT1D10🙇,1,3,,,,,
polyu 有冇WhatsApp group👀,噢噢噢，唔該啦,要問同學搵返你自己major既嗰個group,有嘅话可以拉我入群啊😝,1,3,,,,,
今個sem有冇人讀harry potter ELC1A04,Elc…,咩科黎？,,,,1,5,,,
crcw同埋erew一齊上會唔會死啊😵😵😵,無同科source erew crcw試過,中文我用咗一日寫C+英文用咗5日左右 B+,中，英各2000字,2,5,,,,,
MM2021 調Tutorial時間,Push,Subject Group 1022跪求各位大大🧎🏻‍♀️🧎🏻‍♀️放一個TUT001/003嘅位出黎🥺🙏🏻,,,,1,3,,,
置富food court 幾時開返？,置富都會言商場8樓,即係VA canteen?,真? 係就好呀😆,2,13,,,,,
想問點轉pre-assigned科既sem?,Oh thank you 🙏🏻,yes,成功reg到之後舊個時間就會自動消失？,1,6,,,,,
Poly canteen,想問下VA 飯堂係咪冇左炒蛋定一早買哂🥲 成個星期返930都見5到,,,,,,,,1,1
Human anatomy分組,有冇fm未分組？🥲上堂miss咗,,,,,,,,2,1
想問下大家係邊度Print野,Department room,EIE每年有$750 quota🤔,學校圖書館😂😂,1,3,,,,,
求clc2102p🙇🏻‍♀️🙇🏻‍♀️🙇🏻‍♀️,有冇人會drop😭,真係好需要呢科😭😭😭😭😭😭😭,,,,1,2,,,
CLC3221P有冇人想星期五轉星期三,有冇人想調🙇🏻‍♀️,,,,,,,,1,1
想quit左個prof ，偷上另一個lecture 有冇人知,睇落似係一個星期要上兩堂個D,📷,有得揀,1,13,,,,,
收 MM3111 sources,pm,有冇人有mm4311 source?,有冇人有mm3111 sources?,1,12,,,,,
有冇人讀過AMA1D01C world mathematic,grp project chur？,我讀過覺得chur,thxxxxx,1,13,,,,,
收source Lgt4105,Please pm,,,,,,,,1,1
有冇新hall local 求飯腳🥲,Pm,,,,,,,,4,23
又話hybrid mode點知冇得online上堂🤨,有D professor唔跟個excel，冇寫係essential個D，都會叫你f2f,之前AR email 入面有個excel，已經寫清楚哂teaching mode,我上年呢科可以online🤔🤔🥲,2,19,,,,,
通常lecturer 會隔幾耐upload lecture片,即係即日就有？,好似BB 同 Teams 都係自動,,,,1,2,,,
blackboard疑問😢,ho！😢thank u,estudent冇錯就得,大把人打錯,2,6,,,,,
有冇人讀過international relations？,有冇人讀過APSS1B30 international relations and global issue?覺得點？伏唔伏？workload大唔大？,,,,,,,,1,1
__,禁隔離個信封PM我啊～,Hello,MKT YEAR 3嘅FM可以嚟DM我🥺🥺,2,4,,,Marketing Year 3 FM入嚟認識下大家！,,
求lgt2425/lgt4105 A source,交換or俾錢都ok😚,,,,,,,,1,1
教你自制被動收入,吾洗靠人 靠自己就可以做到🤤pm 我幫你自制passive income吾洗你做野，一個方法就做到好過你放錢係銀行！❌呃人❌傳銷❌直銷冇本錢既可以儲有本錢既可以增值,,,,,,,,3,1
APSS1L01 Mabel教 招朋友😭,有了～😆,等等🤣,點樣私聊，新手唔識😂,1,15,,,,,
ELC3221 Felicia教 招朋友,"我係101 SEM001, Fri 09:30-12:20個班",,,,,,,,1,1
有冇人reg LGT4004 mgt maritime,呢科好冇？有冇人今個sem reg咗？any source 😣😣,,,,,,,,2,1
星期四11:30 AF2602 搵grpmate,點解唔上堂搵？,HELLO🖐️,,,,1,2,,,
R Friend,求隊友🥲🥲🥲,有冇poly讀ELC1011係SWEMMER Tracy教，上10:30-13:30？大家做個朋友呀？🥲🥲😭😭😭😭,,,,1,2,,,
求MM3111 A/A+ source,pm,pm,pm,1,8,,,,,
__,明白既 知識平台ma,公道講句，其實知乎啲人諗嘢都幾正常，我覺得仲好過Quora 添🤣,Pm交流下 支乎,1,13,,,大家最主要用咩平台/app討論唔同話題？,,
__,Yes,話說cilla有冇ig,📷,19,31,,,其實Lz係咪淫hall,,
__,1 都ok,有錢乜都得,10都得,5,5,,,其實poly拎要幾分,,
想問下今年仲有無hall o?,冇,,,,,,,,2,1
__,43,19分係住邊 我諗我住大西北都唔只19分吧😅,,,,2,21,你地幾分入到舊hall,,
有冇人讀FH2C08p?,有冇人想一齊翻f2f?,,,,,,,,1,1
放Blaw書,Ref,想問下係上堂要用or自己買黎reference？🙇‍♀️,Business law in Hong Kong 5th edition,1,8,,,,,
有無ISE senior entry嘅同學,我都係😪,same 今個sem要讀19.5 cre🥲,我都係🥲,2,13,,,,,
Elc2011 星期三夜晚個堂既有冇人一組！,Up,,,,,,,,1,1
有冇人做過CPEO既student helper？,我都唔知，仲要咩都唔知既情況下in🥴,呢個student helper 其實會做d 咩🤔,,,,1,4,,,
Clc1153伏唔伏？,其實可唔可以reg呢科當elective,有冇人regclc2103,你唔識講廣東話咩？點解reg呢科？🤣,1,4,,,,,
ELC2011 assessment 3一問,題目自訂，乜都可以寫，我就寫咗起底,想知道大家篇feature article寫左咩topic 關於d咩,,,,1,2,,,
有冇人要轉hall,Ok,PM me,男,1,28,,,,,
有冇人add drop 可以放 climate change,Waitlist 2有冇,Waitlist 19 有冇機🤔🤔,唔係有waitlist咩認真,1,6,,,,,
有無 comp A source 3字頭個d,有冇 3211 3423 4122？,3211 3423同求,,,,1,5,,,
Comp1011 asm2,year1 今日第一日上堂 完全唔明🥲,講真輕鬆 冇comp底都做哂,Pmpm？😭,1,7,,,,,
有冇人讀過APSS1B15？🥲,Lm,Lm,易唔易拎靚grade🥲,2,3,,,,,
住hall,一年咁reg,想問係1個sem咁reg定係1年咁reg?,,,,1,2,,,
Fm想問學校有冇locker用,30/8就開始咗apply 快啲申請啦,可以申請,有 唔使錢,1,5,,,,,
內有大淫女,呢種男仔少有啊 喺好事,pm,,,,14,31,,,
許金山二奶Sarah Li教放射？,Sarah Li的西發毛了,係呀 出曬名㗎啦,淫婦Sarah Li,1,3,,,,,
ama大神入,subject code?,Me,Pm,1,6,,,,,
APSS1H34 sem1,Pushhhh,Lm,Pushh,1,4,,,,,
Library裝修好噪,唔算吵 5樓自修區都算靜,Lib入邊有工程？,😿,2,5,,,,,
無打針上f2f,gp project要番去搵人組隊 如果唔係自己單排🤭,認真聽書Online都得，仲可以重煲,,,,5,27,,,
CLC1104P 好唔好,係 所有人pre-reg都應該係P,add drop 先調廣東話班都有位喎,全部人都係Pre-reg P架啦 C要自己轉,2,9,,,,,
elc3222 星期二想調星期五,唔好返,我要返工🙈,有冇人同我轉,2,4,,,,,
Global Marketing,"MM4732, sub grp 1011, component code LTL003想搵grp mate~",有冇LTL003嘅同學想一齊form group做grp mate?,,,,1,2,,,
CBS2501想買textbook🙏🙏,Want sources,Pm please,Pm,1,6,,,,,
八半堂prefer online定f2f上,八半走堂啦,online,Online,2,14,,,,,
可以點樣retake pass?,係咪要email department問會用咩理由先批？🙌🙌🙌,,,,,,,,1,1
Ways of Chinese Wisdom 點解冇咗？,同問😢,,,,,,,,1,1
lecturer 啲notes可以用邊個app打開？,我比咗$58,Goodnotes 好用,有啲youtube片係兩樣都用咗一段時間嘅review 睇完再考慮邊樣啱自己多啲,2,11,,,,,
有冇人做檢測或者打針？,檢測,,,,,,,,1,1
駱雯雁有無教書？,識又點,中文及雙語學系,,,,2,3,,,
有無學校嘅merchandise可以買,Polyu bookstore有,同問,鍾意儲學校啲merch，Tshirt hoodie嗰類 poly有無,1,3,,,,,
Anyone CAR C world cuisine?,fm未識人唔知grp project點算🥺,Me!,I’m lonely,1,3,,,,,
求af4106 afa 換source,Push,,,,,,,,1,1
__,讀eng就要預左禿頭sad but true,用腦過度？,engine 個個prof 都冇頭髮咁濟,16,16,,,讀N展讀到開始甩頭髮,,
求APSS2S05 group 1011換1012,想問下Lec & tut係咪要返去上,有冇人係1012可以同我1011換,,,,1,2,,,
__,想入,入tg group有兩個,Any red hall local👋?,2,32,,,有冇人下年去新hall green hall呀👀,,
__,ok thanks👌,上完intro lecture先reg得,收到email話6 Sep可reg Sports Skills Training 應該係 HL part 2. 係咪一定要完成咗 part 1 個 introductory lecture 先可以 reg 個 training 定可以 sem 1 reg 曬兩個？,1,3,,,Fm 想問 healthy lifestyle,,
放CBS2C04P求ITC1C02,有冇人想換🥲🥲,,,,,,,,1,1
Attendance Survey,Survey 啫，又唔係登記,Sd email問下prof,,,,1,4,,,
住hall,得鳩閒check你咩 你避開清垃圾 滅蟲同洗冷氣嗰陣咪得囉,🤭,試下咪知 不過剩係試到一次,1,4,,,,,
Clc1104C prof 一問！！,有個叫Winnie 嘅男prof預幾好,Chiu Kwok Kei 幾好人,人好nice 拎a-,3,14,,,,,
Online上堂使唔使開cam?,有啲tutor上堂會叫人開,唔洗,,,,2,2,,,
有冇人收到水記Fs 2022 grad offer,Oh same😂識好多人有,Fs,,,,2,10,,,
求MM1051ebook,🙏🙏🙏🙏🙏🙏,,,,,,,,1,1
教書無得揀 online 上堂,如果課室有人中都唔知係咪會被拉入營,,,,,,,,2,1
Week1計唔計attendance,計,,,,,,,,1,1
檢測一問,唔俾你入咪俾證明佢睇囉 咁你檢測完係冇事架嘛,佢捉返你走至算啦,"同問，檢測結果係咪交左話successful, 學校就會有紀錄上到堂？我交完都冇收到email有點擔心。",1,4,,,,,
AF2602,Mike 班有位,sudeep,Sudeep 班 Yip Chi Man 好唔好？,1,4,,,,,
想minor 多科,有冇真身經歷？🥲🥲,會,係想知到minor多科bba會唔會太chur個啲,1,7,,,,,
__,PolyUwlam,有,,,,4,2,校內有冇免費Wi-Fi用￼,,
想知tango本書可唔可以同人夾？🤔,垃圾個人成長洗鬼買,online上堂elvy點知我冇買？,,,,1,2,,,
有冇人入咗Poly Design🙌🏻,PRD 🙋🏻‍♂️,有冇advertising ~~ fm,我都係！,5,11,,,,,
開sem你哋揀f2f定online上堂？,8半堂一定online,啱呀 咁樣落去四年都識唔到人 好似冇讀過u咁🥲,但係有少少驚返到去冇人😂跟住個cam又影到我 online啲人望到 少尷🥲🥲,4,16,,,,,
online要download咩app,ms teams + zoom另外blackboard collaboration用browser就可以,,,,,,,,1,1
有冇fm同我一樣驚開sem搵唔到課室😂,一定冇問題,早一個鐘番去揾,唔驚,5,4,,,,,
乜科都reg唔到 (AF人,Marketing,想reg 邊科,,,,2,22,,,
點睇係F2F定online上堂,個post 咪講左有link 睇囉😅,Hybrid 之後，一方面o收音落online未必有直接對電腦咪講好聽，二來教授亦少左精力check online 留言，所以上online 堂效果未必有全online 時候好。,係問你點睇😅,3,6,,,,,
淨係打咗一針使唔使做咗檢測先入得學校,入學校一直都唔洗打針唔洗檢測,,,,,,,,1,1
如果未打針又唔想檢測 self report個度要揀邊個？,Okay thanks,上online 唔洗填report,我有見到呢個po，不過學校要我地填self report又冇得填呢個選項,3,10,,,,,
有無開元巴pairup,Pm,仲有無開元巴想pair up 讀書為主 得閒玩下都得,Pm,1,4,,,,,
__,Lm,可唔可以講下點解,其實讀落差唔多 真心既 LEE都多intern請,7,8,,,今年Fm 入左LEE ，想問下揀LEM 定係EEM 好,,
AIS AF3211 有沒有人想調班？,有人有興趣嗎？,我現在是星期三13:30-16:20想調星期二08:30-11:20/星期三10:30-13:20如果有人有興趣的話，可以pm😄🙏🏻我地send email給department調,,,,1,2,,,
__,有冇Lec003想調Lec002? Plz pm me 🙇☺️,,,,,,,尋APSS1A07同學仔,1,1
waiting list 係咪冇得睇幾多人排呢科？,,,,,,,,,,
有冇APSS1B11 source？,如題用邊本書寫book report會易啲？,,,,,,,,1,1
有冇LSGI2B01,有冇人TUT004可以同我轉TUT001🥲,,,,,,,,1,1
有冇人join左排soc,填左form都未叫正式入左 所有學會收生都必需要起oweek進行,想問係咪填咗form等佢聯絡就okay？😂,hi,6,47,,,,,
今年su fee去邊交？,Post grad 有冇得交？,係咪交一次就得？可以去到畢業都唔駛再交？,唔會,1,16,,,,,
__,yes,使唔使帶波,,,,1,6,星期五有冇人番去打籃球 (1630~1830嗰個)?,,
AF1605駛唔駛source?,讀過econ唔洗,,,,,,,,1,1
Credit transfer,可以tg 傾？,Real,pm,4,35,,,,,
Service learning 推介,Ise2s02 hea A-,A-咗 但workload好大好辛苦,,,,10,24,,,
__,好呀 嚟玩呀,pm,正呀 真喺好cute㗎 叫埋d同學一齊報名ar🤩,2,8,,,"35分鐘實驗｜100%送百佳券｜$2,400機械人抽獎",,
點做Attendance in f2f or online,"Depends on person. In general, all platforms are capable to provide an attendance report on record (BBC, Teams, Zoom). But some teacher might prefer screenshot, Q&A interaction, or polling to build a “customised” record. gl!",thanks,ur english so bad omegalul,1,5,,,,,
blackboard睇notes,有啲上完堂先會有 個course page可以係空白嘅cls,ok thx ching,預開sem前一兩日啦，有啲lecturer好遲先擺上去,1,4,,,,,
有無MSc IT同學仔😹😹😹,Hello 你係今年新生？介唔介意pm 你tg😹,Hello,有無今年MSc IT year 1同學仔互相認識下😹,1,4,,,,,
Essential f2f,same🤣,year 2 freshman 路過🤪,放心，呢兩年個個都難識人，你當大部分人都係新入學就得😹,2,11,,,,,
Poly gymroom,X123 成日都full,邊間gymroom、邊個時段比較多人去？,,,,1,2,,,
elc2014 workload 同grade 點？,2014好，其實123都係做緊同一樣野,average grade: Csource from elc teacher,正常grade,1,5,,,,,
cbs1C08 無語文底 兩個test會唔會fail,想問下死背lecture notes 會唔會fail,,,,,,,,1,3
有冇人red hall,咩hall,"19分here, 住hung hom hall",想問吓知唔知今年pair up 係點搞,1,32,,,,,
Add/drop 有無人lgt3001想換tutorial？,我tut003 想換tut001,,,,,,,,1,1
有冇FS senior entry 嘅同學,Yes～,financial service？,Food safety?^^,1,4,,,,,
紅磡舊hAll有咩必備？,如題🤓,,,,,,,,1,1
healthy lifestyle,Thxxxx,"會有email,開學之後，大約9月中至尾",幾時可以開始報hls？,1,3,,,,,
幾時做WIE好？,Yr2 做一份Yr3 再做份好啲嘅,Yr 2開始準備差唔多,唔做最好,3,4,,,,,
ISE AOS(HD) Study Group !!!,Pm!,,,,,,,,2,1
FM可以幾時join soc,本特刊可以喺邊到睇到？,分咗兩輪擺？ 想問前幾日啲人可以交su fee 報oday係咩黎 🙏,遲d好似9月中會有oweek ， soc會係VA擺booth 你可以去報名，不過今年鏡房唔夠位，分左2輪黎擺。或者有本特刊入面有晒咁多soc既資料同application form你可以online報,3,4,,,,,
class rep要做啲咩,係,我連我地班class rep 係邊個都唔知🤭🤭🤭,即係幫同學傳遞下意見咁?,1,6,,,,,
有冇人派左新hall yellow offer,Yellow duo room I am boy,我都yellow三人房but巴🥲🥲,派左黃hall 3人房offer🥲想搵local pair up 女唔該🙏🏽,1,3,,,,,
CLC2101P求source,🙏🙏🙏,,,,,,,,1,1
APSS1A03 Men & Masculinity,佢寫”已過期”,Pm me,Pm,1,15,,,,,
有冇男想民殷轉勵志或者勵志轉民殷？,Pm,,,,,,,,1,1
AF3625,點解？,in tina we trust,係咪應該跟返Tina?,2,3,,,,,
Civil year 4 入,Tui,有冇cse48404既同學仔係度有既可以一齊form group wo😉,,,,1,2,,,
__,等add drop period,如果Psycho car waiting list排緊頭五仲有冇機，係咪好少有人會放,今朝BME2S04都係0 但係一排隊即刻reg倒😂,4,12,,,senior entry要reg乜科,,
CAR C reg科,"想問問CC1C04P	CONTEMPORARY CHINESE HISTORY AND CULTURECC2C03P	DAILY LIFE IN ANCIENT CHINA邊科好讀d（易理解& test+paper易做），有冇讀過嘅師兄師姐俾d意見🙏🏻",,,,,,,,1,1
HD yr 1 sem1,why?,hd建議quit u,How about ENGL1A15?,4,5,,,,,
想問下住hall最好幾時住？🥺,你住邊頭啊,舊hall排幾多？,得17分😢 連新hall waiting list 都排到120幾,1,12,,,,,
__,同問,,,,,,,HD Yr1 sem1有咩 CSR易拎A range?,3,1
__,Econ,AMA😛,語言？,1,8,,,想問下邊個minor比較有用/抵讀？,,
Year3 Minor,唔可以 因為係 major+minor 計你同一 set graduation requirement 任何一邊未 fulfill 都畢唔到業,有冇人知可唔可以先畢業再補返讀未讀完嘅minor?,因為我差唔多已經讀嗮D科,2,14,,,,,
Fm想住Hall 有咩要注意,住到再講啦,,,,,,,,1,1
上f2f應該帶laptop定iPad,同埋唔方便share,Print 曬係學霸既傳統做法但係四年積落會好多,Agger,1,11,,,,,
有咩car d 好讀易靚grade?,同問,Abct1d13,Chinese medicine好唔好？,9,85,,,,,
__,我係fm 啊 我tg：G8hyami,你地都係今年fm?,好吖,1,12,,,有冇今年讀PIE嘅朋友👼🥰做個frd？🙈,,
☺️,have sources ?,can get a grade?,,,,1,2,abct1d05 have sources?,,
Research postgraduate係咪一定要返學校,Research postgraduate係咪一定要返去 即係唔打針就要檢測？,,,,,,,,1,1
sy頭sem問bme2s04,我今朝都係咁 0 vancancy但reg到 😂唔好信Poly d system,係timetable 見唔見到有？有咪即係reg 到,System上面寫0位淨但多手㩒又reg到….係咪真係reg到？個system咩料😂,1,3,,,,,
攞學生證係咪要事前申請QR code?,唔一定，可以訪客登記咁入,同問🙏🏻,,,,2,2,,,
有冇senior entry入ISTL嘅朋友仔,Hi,Hi,Pm,3,34,,,,,
有無ching讀過ME1D02,.,"有ME1D02 A grade source ar, 有意dm",ching 可唔可以pm問你d野 可能想買你d source🤭,2,10,,,,,
射箭學會好唔好玩￼,仲會有。 舊年都係有得射箭。只有Ocamp取消了。😔,想問下依家疫情咁D活動(e.g.練習班) 係咪都仲會有？🙇‍♀️,室內是用方樹泉堂，所以最多只能射到18米。,9,30,,,,,
呢到會唔會有冇ITC人😋,Tg abcdlww add me 睇下有冇機會撞到🥳🥳,Pm,Hihi,4,26,,,,,
abct1d01比起中學chem難幾多 ？,我search過好似有group pj 係poster功課 詳細係點有冇讀過嘅人解答我 如果同中學chem差不多係咪背書ok？,聽講簡單過中學chem,有人嗎,1,5,,,,,
想問crcw中國民間故事與通俗小說 好唔好讀?,同問🙏🏻🙏🏻,有冇人係tut002 ?🙏🏼,我都想知 🙏🏻,1,13,,,,,
想揾有無讀BALT嘅year1啊～,佢係oday(?),我上一次去oday booth 然後佢地話22號ocamp見？？,今年好像無ocamp🤣wor,7,,,,,,
有冇ITC/20號返poly嘅人一齊拎學生證🥲💗,pm同學🤚🏼,Tg?,Fce ok?,2,4,,,,,
Itc1c02呢个课好唔好？🤔,嗯嗯,我個人推薦四大名著CBS2C04P，如果你對嗰四本小說有基本認識就可以揀。,OK👌,1,6,,,,,
☠,利申 A,Abct1d13 One mc test + one 1500字 essay肺炎關係 無poster group project,有無car科workload小但係個grade又唔差,1,3,,,有咩car科易讀,,
淨係打咗一針可唔可以f2f￼,thx,這個準確嗎？檢測要25/8前完成？！疫苗25/8前打完兩針就得，但之後要打完14日先唔使檢測？！,"開學懶人包30 Aug (Monday)係開sem日子, 即係第一日開始上堂! 可以揀online或者面授. (Estudent class timetable 嘅venue可以見到去咩班房)-唔接種疫苗或者每週檢疫就一定要online上堂, 除咗去圖書館同埋上必要嘅面授課堂(例: LAB)呢兩個情況可以唔需要打針或做檢疫都可以入嚟學校.-每週檢疫需自費, 接受撩鼻同深喉。第一次檢測須於2021年8月25日前完成。到時會有email話俾你聽send去邊！-如有註冊醫生簽發的不適合接種疫苗證明：在網上向大學醫療保健處申請免費使用校內檢測設施(如仍未申請).及免費檢測。成功申請者遵循獲告知的病毒檢測程序，進行每週檢測。於指定時間和地點領取及繳交檢測包-2021年8月25日前打晒兩劑疫苗到時根據outlook email上載疫苗接種紀錄就OK，唔使再做任何野.-打晒兩劑疫苗唔代表你一定要返campus 上堂（除咗必要嘅面授課堂(例: LAB)同Final assessment/exam，Mid term 應該要睇到時情況），純粹係你唔需要再自費每周檢疫，你依然可以繼續選擇online-疫苗淨係打咗第一針都一樣要做檢測先可以上f2f. 打完2針之後嘅14日都要繼續檢測, 14日後就唔洗.",2,10,,,,,
ELC3222,想問有無人係今個sem reg咗ELC 3222但想轉timeslot? Any on Thurs ok for me,,,,,,,,1,
__,Real,學敏,有無人推介下hall女女嘅ig 貼下相上嚟stalk下🤪🤪🤪,2,3,,,到底邊個hall最多靚女😋,,
檢測,見到文件寫話要25/8前檢測，但明明30/8先開學，咁究竟幾時做好？,,,,,,,,1,1
__,想問下ENGL1B04 Language and Society in Europe& ENGL2B03 Exploring language in social life既評價如何，Workload大唔大？ 因為見呢2課都好似少人講🙇🏼‍♀️🙇🏼‍♀️🙇🏼‍♀️,,,,,,,求評價 ENGL1B04 & ENGL2B03,1,1
S3777,有無s3777今年year1啊 好似無同伴咁,,,,,,,,1,1
Senior entry 既一齊討論吓呀🥲🥲,要分呀。要唔同cluster。,我想問吓trans credit既野，我IVE上黎，有無聽過IVE都可以trans credit？,不過要CR CW ER EW,3,6,,,,,
點解好似越嚟越少人用goop,呢度得返賣 source 既 post.,狄卡,🌝咁大家除左goop仲會用咩大學生forum?,1,3,,,,,
緊火！🙏🏻想知Car C CC2C03P掂唔掂,有冇人讀過CC2C03P Daily Life in Ancient China🙏🏻靚唔靚grade? workload大唔大？有冇group project? 感激不盡♥️,,,,,,,,2,1
有冇人想定期喺poly游水,有無女仔🙈,最後一推😭,蟲....\...../ .......╚⊙ ⊙╝...╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝..╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝...╚═(███)═╝...╚═(███)═╝..╚═(███)═╝.╚═(███)═╝ ╚═(███)═╝╚═(███)═╝.╚═(███)═╝..╚═(███)═╝. ......,4,11,,,,,
非本地生返黎,都幾多nds翻黎上堂,可以唔返去上堂，但有人會選擇返去,都唔洗返,2,4,,,,,
今年30號開學,no ocamp,FM 點玩OCamp?,,,,2,2,,,
